feature_set,model,fold,train_start,train_end,test_start,test_end,n_train,n_test,accuracy,precision,recall,f1,auc,mcc
sentiment_only_finbert,svc_rbf,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.47035573122529645,0.4171779141104294,0.6355140186915887,0.5037037037037037,0.49235053130201,-0.01565542897926016
sentiment_only_finbert,svc_rbf,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.4752475247524752,0.47678018575851394,0.616,0.537521815008726,0.4799686274509804,-0.048678727214862404
sentiment_only_finbert,svc_rbf,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.47198275862068967,0.49818181818181817,0.5614754098360656,0.5279383429672447,0.4690201192250373,-0.06686782424971013
sentiment_only_finbert,svc_rbf,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.5043859649122807,0.5621621621621622,0.41767068273092367,0.4792626728110599,0.5258425004365288,0.026734009670757525
sentiment_only_finbert,svc_rbf,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.5164609053497943,0.3548387096774194,0.4476744186046512,0.39588688946015427,0.5001296104280848,0.0017453841238677832
technical_plus_vader,naive_most_frequent,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.5770750988142292,0.0,0.0,0.0,0.5,0.0
technical_plus_vader,naive_most_frequent,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.504950495049505,0.0,0.0,0.0,0.5,0.0
technical_plus_vader,naive_most_frequent,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.47413793103448276,0.0,0.0,0.0,0.5,0.0
technical_plus_vader,naive_most_frequent,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.45394736842105265,0.0,0.0,0.0,0.5,0.0
technical_plus_vader,naive_most_frequent,5,2021-10-27,2022-08-24,2022-08-25,2022-09-28,4234,486,0.6460905349794238,0.0,0.0,0.0,0.5,0.0
technical_plus_vader,logistic_regression,1,2021-10-27,2022-04-12,2022-04-13,2022-05-16,2303,506,0.4901185770750988,0.42810457516339867,0.6121495327102804,0.5038461538461538,0.4963032902317245,0.01296881648475785
technical_plus_vader,logistic_regression,2,2021-10-27,2022-05-16,2022-05-17,2022-06-17,2809,505,0.5386138613861386,0.5335968379446641,0.54,0.536779324055666,0.5342588235294118,0.07725126669259132
technical_plus_vader,logistic_regression,3,2021-10-27,2022-06-17,2022-06-21,2022-07-22,3314,464,0.4956896551724138,0.51953125,0.5450819672131147,0.532,0.48260059612518624,-0.0140656542216419
technical_plus_vader,logistic_regression,4,2021-10-27,2022-07-22,2022-07-25,2022-08-24,3778,456,0.48903508771929827,0.5380952380952381,0.4538152610441767,0.4923747276688453,0.498632209999418,-0.014767022076492373
